Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
TFB5	64.6884	60.4054	71.4758	81.4308	65.2975	76.2794
TFC1	9.39485	10.7656	10.6166	10.7582	9.44952	11.1918
TFC3	7.63932	7.49403	8.13525	4.9067	6.54829	6.90604
TFC4	6.12245	6.86955	6.66286	6.28022	5.56252	5.07104
TFC6	9.58942	10.0241	10.1838	10.4711	9.48571	9.68819
TFC7	21.5222	21.5166	23.4239	17.9583	20.7812	23.7367
TFC8	8.38531	11.3375	10.2969	8.59921	9.22066	7.28333
TFG1	32.0217	30.6635	33.4725	27.6854	28.722	34.835
TFG2	54.3366	50.8065	54.3912	52.569	41.5893	56.7509
TFS1	65.569	74.4947	91.7033	41.8588	110.788	143.663
TGL1	39.6258	36.4836	38.7066	28.5188	38.6451	36.1468
TGL2	8.97188	9.92226	11.8389	12.3969	13.5476	15.372
TGL3	17.1337	14.6199	14.8665	14.3728	18.2873	18.8682
TGL4	15.0381	12.6736	14.0602	12.0206	15.0427	15.1451
TGL5	28.5824	23.0874	24.0116	14.688	22.9026	18.6887
TGS1	16.1721	16.2667	16.6534	19.7724	15.1652	13.5844
THG1	86.1302	80.3737	87.8861	79.2758	72.9339	84.509
THI11	7.96334	7.2988	7.41982	8.67487	12.2218	9.64239
THI12	2.64242	2.22574	2.41015	7.38543	5.10596	4.27474
THI13	3.58802	3.82081	3.7262	5.28902	5.27408	4.72576
THI2	5.25111	4.52985	5.10956	3.73293	5.73377	5.32706
THI20	11.9405	12.7606	15.3334	12.433	13.9465	13.3507
THI21	5.24181	5.73707	5.81013	4.78465	5.67991	5.90119
THI22	10.191	10.9302	10.8997	5.47594	7.11263	6.9976
THI3	19.7259	18.9954	20.0771	15.6238	19.2283	21.2735
